"%s Item(s)","%s פריט(ים)"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2012 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(גרסה. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"-- Please Select --","-- בחר מהרשימה --"
"1 column","טור 1"
"2 columns with left bar","2 טורים עם עמודה שמאלית"
"2 columns with right bar","2 טורים עם עמודה ימנית"
"3 columns","3 טורים"
"About the calendar","אודות תאריכון"
"All Empty Layout Pages","All Empty Layout Pages"
"All One-Column Layout Pages","All One-Column Layout Pages"
"All Pages","All Pages"
"All Pages (Print Version)","All Pages (Print Version)"
"All Three-Column Layout Pages","All Three-Column Layout Pages"
"All Two-Column Layout Pages (Left Column)","All Two-Column Layout Pages (Left Column)"
"All Two-Column Layout Pages (Right Column)","All Two-Column Layout Pages (Right Column)"
"Allow","אפשר"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","לחץ <a href=""%s"">כאן</a> אם שום דבר לא קורה"
"Close","סגור"
"Close Window","סגור חלון"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","בחירת תאריך:"
"Default Description","תיאור ברירת מחדל"
"Default welcome msg!","ברוכים הבאים לחנות שלנו!"
"Display %s first","הצג %s ראשון"
"Distributed under GNU LGPL. See %s for details.","מופץ ברשיון GNU LGPL. ראה %s לפרטים."
"Drag to move","גרור להעברה"
"Empty","ריק"
"For latest version visit: %s","להורדת גרסה עדכנית בקר באתר: %s"
"Free Shipping on orders over 50$","משלוח חינם בהזמנות מעל 50$"
"Go Today","עבור לתאריך של היום"
"Help Us to Keep Magento Healthy","עזור לנו לשמור על מג'נטו נקיה מבאגים"
"Interface Language","שפת ממשק"
"Items %s to %s of %s total","פריטים %s עד %s מתוך %s פרטים"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"Left Column","טור שמאל"
"Main Content Area","אזור התוכן המרכזי"
"Navigation Bar","Navigation Bar"
"Next","הבא"
"Next month (hold for menu)","חודש הבא (לחץ והחזק לרשימה)"
"Next year (hold for menu)","שנה הבאה (לחץ והחזק לרשימה)"
"Page Bottom","Page Bottom"
"Page Footer","תחתית הדף"
"Page Header","כותרת הדף"
"Page Top","Page Top"
"Page:","דף:"
"Prev. month (hold for menu)","חודש קודם (לחץ והחזק לרשימה)"
"Prev. year (hold for menu)","שנה קודמת (לחץ והחזק לרשימה)"
"Previous","קודם"
"Redirecting...","מעביר..."
"Report All Bugs","דווח על כל הבאגים"
"Right Column","טור ימין"
"Select Store","בחר חנות"
"Select Store:","בחר חנות:"
"Select date","בחר תאריך"
"Show","הצג"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","זוהי חנות לדוגמא. הזמנות דרך החנות לא ימומשו בפועל."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below."
"Time selection:","בחירת זמן:"
"Time:","זמן:"
"Welcome, %s!","ברוך הבא, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","על מנת לעבוד עם המערכת עליך להפעיל JavaScript בדפדפן האינטרנט שלך."
"Your Language","השפה שלך"
"Your Language:","השפה שלך:"
"per page","לעמוד"
