"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - תואם לכל תו; 'xyz*' - תואם לכל המתחיל באותיות 'xyz' ולא ארוך יותר מ- %d."
"-- Please Select --","-- בחר מהרשימה --"
"Add New Class","הוסף מחקלה חדשה"
"Add New Tax Rate","הוספת תעריף מע""מ חדש"
"Add New Tax Rule","כלל לחישוב מע""מ חדש"
"After Discount","לאחר ההנחה"
"An error occurred while deleting this rate.","An error occurred while deleting this rate."
"An error occurred while deleting this rate. Incorrect rate ID.","An error occurred while deleting this rate. Incorrect rate ID."
"An error occurred while deleting this tax class.","An error occurred while deleting this tax class."
"An error occurred while deleting this tax rule.","An error occurred while deleting this tax rule."
"An error occurred while saving this tax class.","An error occurred while saving this tax class."
"An error occurred while saving this tax class. A class with the same name","An error occurred while saving this tax class. A class with the same name"
"An error occurred while saving this tax rule.","An error occurred while saving this tax rule."
"Apply Customer Tax","Apply Customer Tax"
"Apply Discount On Prices","החל הנחה על המחירים"
"Apply Tax On","Apply Tax On"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected."
"Are you sure you want to do this?","האם אתה בטוח שברצונך להמשיך?"
"Back","חזור"
"Before Discount","לפני ההנחה"
"CSV","CSV"
"Calculation Settings","Calculation Settings"
"Catalog Prices","Catalog Prices"
"Class Name","שם מחלקה"
"Code","Code"
"Country","ארץ"
"Custom price if available","מחיר מותאם אישית זמין"
"Customer Tax Class","לקוח - מדרגת מע""מ"
"Customer Tax Class Information","לקוח - מידע מדרגת מס"
"Customer Tax Classes","לקוח - מדרגות מע""מ"
"Default Country","ארץ ברירת מחדל"
"Default Post Code","מיקוד ברירת מחדל"
"Default State","מדינה ברירת מחדל"
"Default Tax Destination Calculation","חישוב של מע""מ היעד ברירת מחדל"
"Delete Class","מחק מחלקה"
"Delete Rate","מחק שער"
"Delete Rule","מחק כלל"
"Display Full Tax Summary","Display Full Tax Summary"
"Display Prices","הצג מחירים"
"Display Product Prices In Catalog","הצג מחירים של מוצרים בקטלוג"
"Display Shipping Amount","הצג כמות למשלוח"
"Display Shipping Prices","הצג מחירי משלוח"
"Display Subtotal","הצג סכום ביניים"
"Display Zero Tax Subtotal","הצג סכום ביניים אפס"
"Edit Class","ערוך מחלקה"
"Edit Class '%s'","ערוך מחלקה '%s'"
"Edit Rule","ערוך כלל"
"Edit Tax Rate","ערוך שיעור מע""מ"
"Excel XML","Excel XML"
"Excl. Tax","לא כולל מע""מ"
"Excl. Tax:","לא כולל מע""מ:"
"Excluding Tax","לא כולל מע""מ"
"Export Tax Rates","יצוא שיעורי מע""מ"
"Grand Total (Excl. Tax)","סה""כ (לא כולל מע""מ)"
"Grand Total (Excl.Tax)","סה""כ (לא כולל מע""מ)"
"Grand Total (Incl. Tax)","סה""כ (כולל מע""מ)"
"Grand Total (Incl.Tax)","סה""כ (כולל מע""מ)"
"Grand Total Excl. Tax","סה""כ לא כולל מע""מ"
"Grand Total Incl. Tax","סה""כ לא כולל מע""מ"
"Import / Export Tax Rates","ייבוא/ייצוא תערפי מע""מ"
"Import Tax Rates","יבוא תעריפי מע""מ"
"Inc. Tax","כולל מע""מ"
"Incl. Tax","כולל מע""מ"
"Incl. Tax:","כולל מע""מ:"
"Include Tax In Grand Total","כלול מע""מ בסה""כ"
"Including Tax","כולל מע""מ"
"Including and Excluding Tax","Including and Excluding Tax"
"Invalid file format upload attempt","ניסיון להעלות - סוג קובץ לא תקין"
"Invalid file upload attempt","ניסיון להעלות - קובץ לא תקין"
"Manage Customer Tax Classes","Manage Customer Tax Classes"
"Manage Product Tax Classes","מוצרים - ניהול מחלקות/מדרגות מס"
"Manage Tax Rates","ניהול תערפי מע""מ"
"Manage Tax Rules","ניהול כללי מע""מ"
"Manage Tax Zones & Rates","ניהול אזורים ותעריפי מע""מ"
"Name","שם"
"New Class","מחלקה חדשה"
"New Rule","כלל חדש"
"New Tax Rate","תעריף מע""מ חדש"
"No","לא"
"None","ללא"
"One of the country has invalid code.","לאחת הארצות יש קוד שגוי."
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
"Original price only","מחיר מקורי בלבד"
"Price Display Settings","הגדרות תצוגה של מחירים"
"Priority","Priority"
"Product Tax Class","מוצר - מחלקות/מדרגות מס"
"Product Tax Class Information","מוצר - מידע על מדרגת/מחלקת המס"
"Product Tax Classes","מוצר - מדרגות/מחלקות מס"
"Range From","Range From"
"Range To","Range To"
"Rate","תעריף"
"Rate Percent","Rate Percent"
"Reset","איפוס"
"Row Total","שורת סה""כ"
"Sales","מכירות"
"Save Class","שמור מחלקה"
"Save Rate","שמור תעריף"
"Save Rule","שמור כלל"
"Save and Continue Edit","Save and Continue Edit"
"Shipping & Handling (Excl.Tax)","טיפול ומשלוח (לא כולל מע""מ)"
"Shipping & Handling (Incl.Tax)","טיפול ומשלוח (כולל מע""מ)"
"Shipping & Handling Tax","Shipping & Handling Tax"
"Shipping (Excl. Tax)","משלוח (לא כולל מע""מ)"
"Shipping (Incl. Tax)","משלוח (כולל מע""מ)"
"Shipping Excl. Tax (%s)","משלוח לא כולל מע""מ (%s)"
"Shipping Incl. Tax (%s)","משלוח כולל מע""מ (%s)"
"Shipping Prices","מחירי משלוח"
"Shopping Cart Display Settings","הגדרות תצוגה של סל הקניות"
"Sort Order","סדר מיון"
"State","מדינה"
"State/Region","מדינה/אזור/מחוז"
"Subtotal (Excl. Tax)","סכום ביניים (לא כולל מע""מ)"
"Subtotal (Excl.Tax)","סכום ביניים (לא כולל מע""מ)"
"Subtotal (Incl. Tax)","סכום ביניים (כולל מע""מ)"
"Subtotal (Incl.Tax)","סכום ביניים (כולל מע""מ)"
"Tax","מע""מ"
"Tax Calculation Based On","חישוב מע""מ מבוסס על"
"Tax Calculation Method Based On","שיטת חישוב מע""מ מבוססת על"
"Tax Class for Shipping","מחלקת מע""מ למשלוח"
"Tax Classes","מחלקות מע""מ"
"Tax Identifier","מזהה מע""N"
"Tax Rate","שיעור מס"
"Tax Rate Information","פרטים על שיעור מע""מ"
"Tax Rule Information","פרטי כלל מע""מ"
"Tax Rules","כללי מע""מ"
"Tax Section","מדור מע""מ"
"Tax Titles","כותרות מע""מ"
"Tax rate cannot be removed. It exists in tax rule","Tax rate cannot be removed. It exists in tax rule"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
