"%1$s incl tax.","%1$s incl tax."
"* Required Fields","* Zorunlu Alanlar"
"-- Select --","-- Seçin --"
"Add New Option","Yeni Seçenek Ekleyin"
"Add Selection","Seçim Ekleyin"
"As Low as","En Düşük Fiyat"
"As low as","En düşük"
"Bundle Items","Hediyeler"
"Bundle Product","Hediye Ürün"
"Bundle Product View Summary","Bundle Product View Summary"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Buy %1$s with %2$s discount each","%1$s ile %2$s aldığınızda ikisini de indirimli alırsınız"
"Catalog Product View (Bundle)","Katalog Ürün Görünümü (Hediye)"
"Checkbox","İşaret Kutusu"
"Choose a selection...","Seçin..."
"Click for price","Click for price"
"Close","Kapatın"
"Default","Varsayılan"
"Default Qty","Varsayılan Adet"
"Default Title","Varsayılan Başlık"
"Drop-down","Açılan kutu"
"Dynamic","Dinamik"
"Excl. Tax","Vergi Hariç"
"Excl. Tax:","Excl. Tax:"
"Fixed","Sabit"
"From","Kimden"
"From:","Kimden:"
"Gift Message","Hediye İletisi"
"Incl. Tax","Vergi Dahil"
"Incl. Tax:","Incl. Tax:"
"Input Type","Giriş Tipi"
"Is Required","Zorunlu"
"Message:","İleti:"
"Multiple Select","Çoklu Seçim"
"N/A","Yok"
"No options of this product are available.","Bu ürünün seçenekleri yok."
"None","Yok"
"Percent","Yüzde"
"Percent Discount","İndirim Yüzdesi"
"Please Select Products to Add","Eklenecek Ürünleri Seçin"
"Please enter a number greater 0 in this field.","Please enter a number greater 0 in this field."
"Please enter search conditions to view products.","Ürünleri görmek için aranacak kelimeleri yazın."
"Please select options for product.","Lütfen ürün seçeneklerini seçin."
"Please specify product option(s).","Ürün seçeneklerini belirtin."
"Position","Konum"
"Price Range","Fiyat Aralığı"
"Price Type","Fiyat Tipi"
"Price as configured","Ayarlanan fiyat"
"Qty:","Adet:"
"Radio Buttons","Radyo Düğmeleri"
"Required options are not selected.","Zorunlu seçenekleri seçin."
"Selected required options are not available.","Seçtiğiniz zorunlu seçenekler uygun değil."
"Separately","Ayrıca"
"Ship Bundle Items","Hediye Ürünler Gönderilsin"
"Shipment","Kargo"
"Store View Title","Mağaza Görünümü Başlığı"
"There is no defined renderer for ""%s"" option type.","""%s"" seçenek tipi için belirlenmiş bir görüntüleyici yok."
"This product is also part of bundle(s)","Bu ürün zaten hediye ürünlerden biri"
"To","Kime"
"To:","Kime:"
"Together","Birlikte"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Use Default Value","Varsayılan Değer Kullanılsın"
"User Defined Qty","Kullanıcının Seçtiği Adet"
"and","and"
"each","each"
"save","save"
