"10 minutes","10 dakika"
"15 minutes","15 dakika"
"20 minutes","20 dakika"
"30 minutes","30 dakika"
"5 minutes","5 dakika"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Zamanlanmış Görevler) - bütün zamanlar dakika bazındadır"
"Daily","Günde Bir"
"Failure History Lifetime","Hata Geçmişi Saklama Süresi"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Zamanlanmış görevler tarafından üretilen Adreslerin doğru olması için Sistem > Web > Güvenli ve Güvenli Olmayan Ana Adres verilerinin doğru olduğundan emin olunuz."
"Generate Schedules Every","Zaman Çizelgelerini Oluşturma Sıklığı"
"History Cleanup Every","Geçmişi Silme Sıklığı"
"Hourly","Saatte Bir"
"Invalid callback: %s::%s does not exist","Hatalı geri çağrım : %s::%s bulunamıyor"
"Invalid model/method definition, expecting ""model/class::method"".","Hatalı model/metod ayarlaması, beklenen ""model/class::method""."
"Minute Intervals","Dakika Aralığı"
"Missed if Not Run Within","İçinde çalışmıyorsa Yok olarak işaretle"
"Monthly","Ayda Bir"
"No callbacks found","Geri çağrım bulunamadı"
"Schedule Ahead for","... İçin tek zamanlama oluştur"
"Success History Lifetime","Başarılı İşlem Geçmişi Saklama Süresi"
"Too late for the schedule.","Zamanlama yapmak için çok geç."
"Unable to delete the cron task.","Zamanlanmış görev silinemedi."
"Unable to save the cron expression.","Cron ifadesi kaydedilemedi."
"Weekly","Haftada Bir"
